2023-01-23 00:21:28.514 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 00:23:43.453 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 20 and 
2023-01-23 00:23:43.455 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:43.458 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 21 and 
2023-01-23 00:23:43.460 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:43.462 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 22 and 
2023-01-23 00:23:43.464 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:43.469 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:45.411 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:45.412 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:45.412 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-courses acquired successful
2023-01-23 00:23:45.412 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from start_date) * 1000 > 1674426225412 and 
2023-01-23 00:23:45.412 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from start_date) * 1000 > 1674426225412 and final_mark = '-1' and 
2023-01-23 00:23:45.419 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from start_date) * 1000 > 1674426225412 and 
2023-01-23 00:23:45.420 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from start_date) * 1000 > 1674426225412 and final_mark = '-1' and 
2023-01-23 00:23:45.421 [ INFO | com.servlet.ejournal.model.dao.impl.CourseDAO | CourseDAO ] - course dao query HikariProxyPreparedStatement@1490713116 wrapping select * from (epam.user_course natural join epam.course natural join epam.topic_course natural join epam.teacher_course) where extract(epoch from start_date) * 1000 > 1674426225412 and final_mark = '-1' order by c_id limit 5 offset 0
2023-01-23 00:23:45.429 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 20 and 
2023-01-23 00:23:45.431 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:45.436 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 23 and 
2023-01-23 00:23:45.438 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:45.441 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:47.931 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:47.931 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:47.931 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-courses acquired successful
2023-01-23 00:23:47.931 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from end_date) * 1000 < 1674426227931 and 
2023-01-23 00:23:47.932 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from end_date) * 1000 < 1674426227931 and final_mark = '-1' and 
2023-01-23 00:23:47.935 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from end_date) * 1000 < 1674426227931 and 
2023-01-23 00:23:47.936 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where extract(epoch from end_date) * 1000 < 1674426227931 and final_mark = '-1' and 
2023-01-23 00:23:47.937 [ INFO | com.servlet.ejournal.model.dao.impl.CourseDAO | CourseDAO ] - course dao query HikariProxyPreparedStatement@270909390 wrapping select * from (epam.user_course natural join epam.course natural join epam.topic_course natural join epam.teacher_course) where extract(epoch from end_date) * 1000 < 1674426227931 and final_mark = '-1' order by c_id limit 5 offset 0
2023-01-23 00:23:47.943 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 19 and 
2023-01-23 00:23:47.945 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:47.947 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 22 and 
2023-01-23 00:23:47.949 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:47.954 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 24 and 
2023-01-23 00:23:47.956 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:47.960 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:49.042 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:49.042 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:49.042 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command course-details acquired successful
2023-01-23 00:23:49.044 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 19 and 
2023-01-23 00:23:49.047 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:49.052 [ ERROR | com.servlet.ejournal.services.impl.CourseServiceImpl | CourseServiceImpl ] - No such user-course relation (c_id), (u_id): 19, 13
2023-01-23 00:23:53.299 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:53.300 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:53.300 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command course-details acquired successful
2023-01-23 00:23:53.304 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 19 and 
2023-01-23 00:23:53.309 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:53.311 [ ERROR | com.servlet.ejournal.services.impl.CourseServiceImpl | CourseServiceImpl ] - No such user-course relation (c_id), (u_id): 19, 13
2023-01-23 00:23:54.742 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:54.742 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:55.461 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:55.462 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:55.462 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command logout acquired successful
2023-01-23 00:23:55.467 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:55.467 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:58:04.369 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where t_id = 10 and 
2023-01-23 00:58:04.377 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where t_id = 10 and c_id = 10 and 
2023-01-23 00:58:04.380 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - select * from epam.topic where t_id = 10 and c_id = 10 order by t_id limit ? offset ?
2023-01-23 01:00:40.639 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where t_id = 10 and 
2023-01-23 01:00:40.647 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where t_id = 10 and c_id = 10 and 
2023-01-23 01:00:40.650 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - select * from epam.topic where t_id = 10 and c_id = 10 order by t_id limit 10 offset 0
2023-01-23 03:32:32.484 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 03:32:32.494 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:32.495 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:32:33.982 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:33.983 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:32:47.009 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:47.009 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:32:49.174 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:49.178 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:32:49.230 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 03:32:49.231 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 03:32:50.037 [ INFO | com.servlet.ejournal.services.impl.UserServiceImpl | UserServiceImpl ] - User admin@gmail.com logged in successful!
2023-01-23 03:32:50.060 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:50.061 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:32:51.761 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:32:51.763 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:32:51.763 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:06.263 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:06.264 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:35:19.797 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 03:35:19.809 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:19.809 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:35:21.301 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:21.303 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:35:23.787 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:23.787 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:35:25.966 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:25.970 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:26.009 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 03:35:26.009 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 03:35:26.508 [ INFO | com.servlet.ejournal.services.impl.UserServiceImpl | UserServiceImpl ] - User admin@gmail.com logged in successful!
2023-01-23 03:35:26.522 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:26.523 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 03:35:27.718 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:27.720 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:27.721 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:28.306 [ ERROR | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Unauthorized access to command change-locale by admin@gmail.com
2023-01-23 03:35:45.412 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:45.413 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command change-locale acquired successful
2023-01-23 03:35:45.414 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:47.245 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:47.246 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command change-locale acquired successful
2023-01-23 03:35:47.247 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:49.105 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:49.106 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:49.106 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:50.428 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:50.428 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:50.429 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:53.243 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:53.243 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:53.243 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:54.097 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:54.097 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:54.097 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:54.749 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:54.750 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:54.750 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:57.183 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:35:57.183 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:35:57.183 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-users acquired successful
2023-01-23 03:35:57.183 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'ADMINISTRATOR' and 
2023-01-23 03:35:57.184 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'ADMINISTRATOR' and 
2023-01-23 03:36:27.594 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 03:36:27.594 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 03:36:27.594 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command add-user acquired successful
2023-01-23 03:36:27.611 [ ERROR | com.servlet.ejournal.model.dao.impl.UserDAO | UserDAO ] - Can't get user from database, email: test@new.dao
org.postgresql.util.PSQLException: ResultSet not positioned properly, perhaps you need to call next.
	at org.postgresql.jdbc.PgResultSet.getRawValue(PgResultSet.java:3130) ~[postgresql-42.5.1.jar:42.5.1]
